,original_id,sequence_length
8ffcdcaffb997172e098e4c69adb606b,seq_179330,400
d3d236d942806e047cc8643d82ce6c3e,seq_100543,399
426b51f99d2b766e4cb654b52b9d4d05,seq_154173,396
370b5e5a8e060f91f863c8b4d7bbca63,seq_259931,394
24e57cabf0baf6547156e1d5dc12308d,seq_186954,393
0b1e85111896f6ec8238e0526805e9cd,seq_264683,391
7a8f8ba318bef49770a331808d677166,seq_226911,390
468902bbd7b3759b99fb802591865c24,seq_162316,384
a638da8ef6c9b868cb240a0b6dc281fd,seq_186617,383
382aefbb996a34e2771991c11188cad1,seq_168287,383
044608e31a99d8aacd78edd6195b8a33,seq_21735,377
6e962ed339c6be411650f3a5ce46e134,seq_59744,375
4bfee61e3722576d179610046c637c0b,seq_229752,370
69f74f94eddc92b8120ee2bf309ceed9,seq_121574,369
4e8ed3d196678847e0af596d45d6f03f,seq_182054,368
4dbd28ea435e2624a7f93dbbe0405392,seq_157857,367
bb8ec42c629120a85c3560d9cf883c4c,seq_17352,365
964d62e898b8f9877979a45fdeb64c52,seq_180324,354
ad03d370719988b7f78148ed31d5af13,seq_255482,350
4bd62e9e8a5889ad8195d5709e9144a4,seq_184144,350
e6966de5dfebbaf568202418f7fa9987,seq_246011,349
4a7058844bf40f257f761f6ab510fb20,seq_233880,344
f95d75e658337fd6bcdd534c2434d5d8,seq_167364,342
72ba9555a4aec6e7091a0259319a5395,seq_151741,340
345785eac39a47d7d644a4457262113b,seq_174369,338
f83e2a3a82896239a596fd54207c3b32,seq_166524,338
4e00524f3c20885f2455d6d38f8abc41,seq_154439,336
1cf4200f7a8c55cf87dd3bc6044dd2dd,seq_155155,332
dde113987fff2b4fb5dd0fb4f8b80607,seq_26731,330
da5cf3c3b9eb739671f8a11a566e4074,seq_166902,329
00f3d2ee6c8575eaa47f1341294b7e4d,seq_161692,327
4b1803a220b80922f332e972dd7c7915,seq_164332,324
99c9768b64527ce598ed77a6daa31060,seq_161270,324
dc4c0641b45127fbb6c797456f5f4342,seq_216058,322
24c4f8cab04028b26f3c946b6acbbb3d,seq_245735,321
99afd06af78821b5cd10c39184a8b246,seq_232047,320
f51fcb9fd6d5a42bb7945409977a02cd,seq_163910,318
be40cfaec5f0c11ee6bbd7b848e0169f,seq_74528,317
8c837a2d953b440faae916d2276ad79b,seq_186851,317
f5705957da8510664a9e4e6e7b0c97b0,seq_175339,316
6e737ee222dee1646077ae7639cf630e,seq_165038,315
b76df1d36b57b55ad4dcac77c175d1f6,seq_99835,310
bec3d33835589e04505d37923456e99d,seq_249308,309
42a3e73c0020ce038cb338618a7f7c64,seq_210959,308
3e1c70325009c53ad790e1f9f179eadc,seq_57863,308
631fc3693468fa20b776944815bc5784,seq_231409,307
2d34772bacb654b5d01003f4fe5091b6,seq_189298,303
7da7690a5593794fe0bb6980e42470d8,seq_240200,302
25aa2719f2c99155c50528c0745477ae,seq_157725,301
8811ba3a0beb39997a1bb9e58d346068,seq_155090,300
cb43b0e82e92b7d1323fe3598ba4c469,seq_169512,300
4b7a3f51272ca18bde25fb5620f014f3,seq_229859,299
f299b523bdedf5323b58bcdfd05cf958,seq_252481,298
d20a6f3c078ab4a431df14d7c528c31f,seq_172596,298
12f17122840ba349ebc086726c0d0f6c,seq_162659,293
69c4799cfd3e940b4e930ed082bc7236,seq_262914,292
58ed3f5facc69727d1a33271c821fff9,seq_9764,292
2cd79bd5ccbefef263739b7866d543d6,seq_83934,290
4fea01a5eb3cbd175b77ce01c1d0cc09,seq_215808,289
40f14fb1380249dbac9e7c72a5b15b33,seq_167448,288
c89094f60112c3a39ab277acb1894412,seq_129911,286
c0766f7f595dd4177c192b87cb964e44,seq_94812,285
8bf1c1ac3ac3d20bea6e08eb999cd6c4,seq_187041,285
6209f28c21e58cad37b69023067fe7e9,seq_155333,281
e6e7535054601b90885a54b0e9e9b6a2,seq_210902,279
7114451928d33d00abafd5ef47e81452,seq_210901,275
b3b916ac0d17597ba8f5cb3fd213da3d,seq_261518,275
bcc6aa41033c6f083e93d0cc15df5b23,seq_175653,269
9a8f17df887bd8f049ca4147e00a8471,seq_192881,269
2f0ae177d2f7f98118ae824ab8398823,seq_172767,268
b3a69c47712483d6d5f72bbfa71d83cf,seq_185787,263
c364610cf98e8dc8770863e73af0d0f5,seq_129007,263
7fbb6e265b50e10cb5e30f5d903cd493,seq_160363,261
c3b974f2a205db738b37e33f4aedeecb,seq_231275,261
f98254814770838206d1e0608410f751,seq_192864,260
c9e34c88992a6a05f5d0a9790a4b487c,seq_66560,259
7b15530862bc6feeadad12f358636f2e,seq_181544,254
0ecd717f39ac7c1deaf6511f7ceac216,seq_250537,251
9b69ae718559797dc8ae6c1d363cb74b,seq_72305,249
2c3b367b91effbad84200fcab092c61b,seq_158556,247
221385a1d139ceb0c892cbd55a6d155a,seq_120220,246
647aac055e61bec4c6ff6008f59a772e,seq_159878,244
2ea7f41577c2212e72a82e88ba34f9d4,seq_244779,240
21640030b30f325042cc4e25b00447d5,seq_174656,238
7e584dabe43a384ce57c62e6d0eae54a,seq_168482,237
bd41c5eae5b6d3b25e7806ffbd54119f,seq_215575,231
d21ee2d45d2f1b00d1430aeaf33664ab,seq_233464,229
4695f171fca09dadf24c53d14021dc05,seq_246148,229
ff229db1b16d8be542bbce33253378ac,seq_226924,228
1516dcd8b135295ec5a44fc89d330c18,seq_254739,227
2d1a72538f32c24dd9be406358e27e80,seq_30183,227
e454c69d808e2c965872b3dac12f6ad6,seq_161897,226
9f2291d05016fb8679d55e930a68560b,seq_243762,225
d146e7711d637f4cc86cb76da3bcc499,seq_40969,224
bf0dff51abed93ea5149bd49681e16d9,seq_48187,224
850a465fe03d269672838446b3409e72,seq_177318,222
871e57acd61164ecb3799e3d96dfe186,seq_229278,222
1ea384b8e5c8825a30f39cee589ec3d8,seq_185083,220
531f7b074f27f44e32e81d4ea132b4af,seq_232307,218
9e9dc2f687b051669144c9c8b7b7bc29,seq_151499,217
2f0a1058cdeead245b051c15209b876c,seq_228102,216
d77514bd22ea234e6e1b5ad05b19f052,seq_79532,215
050b667ea2c902ca29b146926fa6ca2a,seq_152606,214
a58444a387ed6d0f9d69c6c7a873e3fe,seq_126332,211
ebb422384221a4b0fc2195267f400bd3,seq_155630,209
06bd095844d1521af83312ef0cd60b98,seq_261250,209
6e3abafda766d308c0f1db9ded7e5714,seq_240410,206
89c49a9baf62b6c22ac59415be877123,seq_219865,203
95adcb875b40a38a8e4b3a1654b93e90,seq_232327,201
