,original_id,sequence_length
e2249e84895920a5d2baa7c76c2a2e41,seq_188930,400
8ffcdcaffb997172e098e4c69adb606b,seq_179330,400
311a72b4fe4c8249d99484864e4dfba6,seq_24556,400
4a67144b72a45382dd11a9d2a1acf968,seq_251035,400
d3d236d942806e047cc8643d82ce6c3e,seq_100543,399
4cd57d76adc280eea75689768ef30c5c,seq_97733,399
5f773466be48f1a6f1d15106aee8a27a,seq_109383,398
08bf7f31113cd011bca1d57a1c19ac06,seq_101183,397
0780f8dc2ca36640ccda141c11a7b92c,seq_92059,396
426b51f99d2b766e4cb654b52b9d4d05,seq_154173,396
ecded302480cf34edcf5070929df8ed5,seq_141981,396
fb7e5a6d11b8d0eccf93a53c2425f313,seq_183289,395
1a6d5b9dd0743b7a3ae3589695a069dc,seq_178366,395
e3b19e60261fcc0526c6090ad40f4b80,seq_18768,394
1a083bb4da87c0ed3770b21ca9fcd202,seq_184843,394
7166b758b8bf142bf6e0e1fa6e998632,seq_105526,394
2fec9c405559cea405e722f5daafea20,seq_41100,393
41fc5942336f386892f10a4312a445aa,seq_108077,393
c133dfce69f606f20865e9008199f852,seq_194312,393
300d9099701f47df258cd32dc482cf4b,seq_192641,393
fe30c224391449c7643aa2b68dcc1cfd,seq_1310,393
8dc3fc0adfc03fbf65054d76a676d908,seq_158936,392
69fc04d1a3bbbd5e5ef7aeb516d9a87e,seq_185612,391
faacb5797ebdaec3414099cbd7a855ec,seq_115350,391
7a8f8ba318bef49770a331808d677166,seq_226911,390
9c4b23647e99396f5a7af6a97e89becf,seq_141999,390
8e78453640b86e85988ac10dfdb06797,seq_62416,390
3f2822066e0e4352197000fbbf38d9d6,seq_222998,390
c18c01050b5588ec8a14c2caf92e3d62,seq_129652,390
da64aa61de8614a18489ed5cf87944cb,seq_93281,390
1885d8b8df79a385b6c64db75f68a66f,seq_54229,388
85cb74c84ff866bb5882963e002cedea,seq_134166,388
4e5edc003900942f179e994326beb081,seq_121694,387
43df37059d26f6807f6ffccb4a8ba74c,seq_85397,387
4d812bce37404a3d2d360809dbc061a2,seq_184452,385
a850304cb07489b0f36d55001fd02802,seq_89803,385
d7781510e92a3b8a56ba15630c1818ba,seq_33083,385
cee4e2cbb135b8d4e0c8aef75a0ff874,seq_1719,385
059e75380229d32b13bfc2740111bdf4,seq_175743,385
3dd6418f313f8357f354d01993be3cc2,seq_230218,384
