,original_id,sequence_length
4a67144b72a45382dd11a9d2a1acf968,seq_251035,400
643974d43c23a91c8d6fb19c35c38858,seq_24160,400
ecded302480cf34edcf5070929df8ed5,seq_141981,396
1a6d5b9dd0743b7a3ae3589695a069dc,seq_178366,395
fe30c224391449c7643aa2b68dcc1cfd,seq_1310,393
8dc3fc0adfc03fbf65054d76a676d908,seq_158936,392
40e72fb8d47cb778ef915b0d719e3b06,seq_108060,390
4e5edc003900942f179e994326beb081,seq_121694,387
43df37059d26f6807f6ffccb4a8ba74c,seq_85397,387
2bc40b37ce5a6279632e4f779275a35e,seq_225769,382
2764fe84be13064576e3e1abe2111af7,seq_142026,382
93bfae2a10fef0088873986666383aeb,seq_42929,381
4395ceb0fdd0be044052d2c772f2d358,seq_253386,380
4d88a306204479840124f10a1146ab87,seq_190759,380
b42120c29ca08c321cb4ca420b12267c,seq_99635,378
8cbb33614c7631e2f774ee64c28c8868,seq_253387,375
d6904916c18301760a350ae1303224f9,seq_184958,374
713e38635ccce894504923ddbbb4a3c7,seq_82485,373
3d1a8776f5437f31cf70f8fc6c3a77a6,seq_104843,371
5852e5b1374b0b3a69ec0715c6e0321f,seq_12090,365
fc62979bcee36aa43967cdfb2b7157a3,seq_99833,364
bdce0b83cbb55dcda115fbe6805fd823,seq_262483,360
4dcaa2f3de985558c0865caa8133236a,seq_152475,360
101984ddad0ca5cf9c72fdbe0cc7d6ee,seq_86085,359
6266887229cfa42a13fa631077c13ee0,seq_115002,359
96842cf84eae3eca693ce35fe15fa0a0,seq_264932,346
f11646f59cc2081d49e386f4f1bda822,seq_246866,346
863afda5cc90d79d105f97058a25bd7d,seq_248260,345
fe02032ac60c4f0fed6952204e6db491,seq_145966,342
23f148957fd3258205e29428c9e997b8,seq_93535,341
34ea863cc7141ec9c12a26b29550d5fe,seq_56546,341
c3656cfcfcdf698f3fca17b9f55c9b0d,seq_166991,340
c2caf84e8cf753f5953f1e1e06e9197d,seq_13635,339
8ad44459d7c9729ebf7bf370f699dfaf,seq_66561,336
49965dc559c0ab7f90d6acd5e1306a06,seq_146971,333
1f4dfb4277e0a62b39ebb669787d6f36,seq_55898,333
0d6b162fed617f577890d8d733f39b3f,seq_1663,331
0ed6c56cc516b9fa0ff72adfb15a345e,seq_209164,327
779b26e150d01c7e6f00e68d2be8401a,seq_243355,326
349caef86351838270b8c18ec7f9bc47,seq_186391,326
86685105afd9ae9d85351ebe175f3074,seq_150177,325
6877ab5dcf00d26c226ac89b318a283e,seq_223758,324
180da48681a063b3121694b73515fa0c,seq_1563,323
305fccea1cf381dee0e3f75e87f19ce7,seq_123081,322
5e3b370073358ed3c1db1b7133c36409,seq_249935,321
0f589705a96449568bb73eb2e339d9ad,seq_168808,321
5cb4f5461acf1b1c143382f295807b51,seq_97734,318
fb6d6ebbfc2c85ece09c0db930a9f411,seq_94419,317
559d70233dcd99cbe4bd10d8d7b785a1,seq_139876,316
5a7f0ca914e6d31cac2e5fa4cfd003fa,seq_168734,314
083038c00c0d70567ee173d1cebd2843,seq_142309,314
83d4ed223693045087cca668ea83cf82,seq_98969,309
66e61ddaf8ed58a0104dd961057af818,seq_193739,309
8870c2397dc5d2d95c5a06034c495c0c,seq_167049,303
c72a9aad1c33016e78ea6bb93765171a,seq_183818,303
1d1d03169b6a83a5126b21a95c2ea779,seq_82946,303
4d1d430a250e9e23872f128f9d46d7fd,seq_110650,303
e80eb1a0151e57edaec15e427504c77e,seq_178086,302
18f4d72b0083c87ab78550cea1cc85ce,seq_153601,301
9b5cad1660364c3efdd63db727c993e6,seq_161473,299
0627338dbbb274eb5bbd48d925f1bd5d,seq_189868,298
0a03232d99e2d3cbc3982a5016a9fa23,seq_125719,297
ef89e2dc3a6006bcb5e6f1eda4c598ea,seq_34181,296
9d76c457c012a811af9932c5871b0696,seq_23681,294
3c8efcbb3e5ae62a71ef6e996240eb45,seq_10020,294
ed02a727239ce515412bedcb24eb2a22,seq_132761,294
856994a0c942cd0c3d1f442d6832a683,seq_142439,291
168796d1808b726afe502fff9c1d6fa7,seq_94404,290
177f34891e070fa497a27d21864e8236,seq_184319,289
878721259a6494710b90caa1e8e7d052,seq_131379,288
cd357f418f4b121abd50f0d86b8eb8b9,seq_42695,286
16447c0579999f8cce528fcc25b6fd6e,seq_253690,281
