,original_id,sequence_length
14f4d4315a2b3e009f20728c1522fcd8,seq_161019,399
22bfec9331559f486f47f456c97da36a,seq_1615,396
0780f8dc2ca36640ccda141c11a7b92c,seq_92059,396
7166b758b8bf142bf6e0e1fa6e998632,seq_105526,394
300d9099701f47df258cd32dc482cf4b,seq_192641,393
5799424c7ab1359e05b1f37722625a81,seq_109730,392
9c4b23647e99396f5a7af6a97e89becf,seq_141999,390
7ccf55224f0b41b5aefc81b4345cc658,seq_61147,390
a850304cb07489b0f36d55001fd02802,seq_89803,385
6f18ffa38815910f3994267bd55ed941,seq_136362,382
ea00dd23fbca62f0242248db153927e0,seq_166218,381
af70a7b0699b504299788cbfe3936bd8,seq_142064,371
84e302d86bdd3b0f3fd3e96419e88012,seq_7320,371
726cd33653d1a52e2af6f2ad3b5bd7a4,seq_252269,371
3dd0f90fbe7519320d75f3d5a4ffb35a,seq_86447,368
00dcb9c550365c90e1d855e7f8876b78,seq_109927,366
63faf21cc478e64c632e779eff192b8a,seq_128128,363
b4ec638a2c6e6bdf3e28b9427fe7879d,seq_177421,361
892d2542a8ab7c049e8f01ebe8e7a6ca,seq_127801,358
cf81babda03ebb2ada447dcaeba85938,seq_142110,355
dbf29e2bb6d5fb31c76cf74c33da21b0,seq_239440,352
860fe285427e51eaa063476222e31d48,seq_90114,351
9412d19a993c763bcdbe18a24f48ca4c,seq_146503,345
0cf9cac578b57a90471ebe9ed1344b2c,seq_244248,345
79ed61115c6ef10df5cb8676ee9cf148,seq_109442,344
2cce9ef99f0833996ea72d9991d57ccd,seq_172724,341
61916907ab24e96a921f38867d257100,seq_62512,340
eb7de9ff6a52a9f5750e1cf74191a9a0,seq_178281,339
90bc9fa972bc06cdca74d24cd4b5da76,seq_40687,339
127dd841eddfda5bef9df6848b43154b,seq_66705,333
26f66490dcfa3b04f0aded67ac73a67b,seq_101539,333
3927ad6312efee1594de620b5b8844e1,seq_75798,332
5a2019fe0803fc00899a22e5a3f944a0,seq_163622,332
e66ee45b3aa3cafc1d0900217a542b36,seq_115011,331
e48f645a207b63c8cf3d1b1ee0b738d7,seq_87145,326
1914c2ca409bccea55a900555b78f9fc,seq_247501,325
f5be419bb4ff6252d96052420d6ece86,seq_161188,324
663a1a147ba7e28a04679da055b92c7b,seq_102256,324
92ac233d5d8405cbae88ffa86b4513e7,seq_110612,322
e42581835ef7d83d5ed8b4dc5e70fac4,seq_58171,320
468ab7cb3b43e4be54a2c87158fc0c7b,seq_59380,319
bf72fcded332b51ebd3754a52ab74ffd,seq_142283,319
bc738f151aa299b9b5e69c1ce9bee69e,seq_86177,312
e2e1fccc24f2ee2da2fddbeb2c10718e,seq_94508,309
87469c60030f86f6acb41e8a14d96c84,seq_95604,309
f9b50eb161689823ba01565a684a1778,seq_107764,308
93dad3f1cda4eef0ba5922ac23a66036,seq_42015,306
9701e30aaafa9d23238e3d1803be8faf,seq_55701,305
b21db26ed9a5bb95c1f6bd0ef18ab656,seq_26802,305
280de2630a20ff20460a6964a95a2265,seq_142355,305
653a441dda22b7317b787ed1091a437d,seq_22640,302
46f53e9240ec10b79a07cbde10c77b79,seq_85585,301
a26dc5dfcb32ff692f0397cf729fb53a,seq_192477,299
84fb03a479c679f7ff6503ae541d2551,seq_45885,299
4d4e24ac42b469f0ae7deb7e641b736f,seq_110742,299
9895f6edb129fd394948208978dd435b,seq_120399,297
8ea3c1f7ad52ac69017663a483d090c6,seq_31172,295
30c2beef6e01fe228f94d5ae42c965c7,seq_169259,295
6b2d7129809d2aa16c70aba24fd3893a,seq_75028,294
dc43b7c2332103845b740ecd049a4d2d,seq_181315,293
ac4e214d046c63e3cb629255b7dd9d5d,seq_83472,293
d7e8d6325f1bd32d71c43d4fa8c15bc1,seq_49285,289
af7959c064fd484851c217d597b547ea,seq_94567,288
4fdbb89c8700233523fd9b5e76e65bbf,seq_94159,288
fb19f5b6a9114b155ba955550a73cada,seq_222281,288
9344e2997bd8ad3db8b3688eb9780698,seq_101384,285
f9badae6e5bfc8541c6a7e582f146b4b,seq_125687,285
3c1c5a63fcde92837f03bdbb0ba054d9,seq_145390,280
50dd2b997792dcefdf3a29b2f16c5027,seq_103762,280
224e51e6a57c242c918e3b4781c39cee,seq_101573,280
f98e6eb7495a39e45c33ca0ca2305725,seq_103138,278
ceccd439f3ff3531acffd5dd22e98f62,seq_57932,275
33e2d1656ac5cfbc7f2b65a2877cd5c6,seq_151224,273
faab90f6dcb3760bc3b7e3e242048f24,seq_126372,272
87b4ed341d228f93cd6ebb54d94b7598,seq_114528,272
94de015457651013628373c5964163ce,seq_154088,271
2d706aa395a74a691966ce1b8abb319a,seq_142572,266
fa34c0e64c895b908027b968b6b4bb7d,seq_142579,265
3ecbddd507cdddcba002d11353026664,seq_106362,263
69495a2ccceba2ca7dce3edd2cdbbebf,seq_174205,263
ee5a5f2ae3c1bd47b3737b74559f2584,seq_4866,262
ff374bb7d3fdff41d9bf528641e79088,seq_101599,262
6d07b8e0d2b66de9808987fdd43b6023,seq_94155,262
22ee655ca52fafa733c2dde58123d83d,seq_190554,262
95eb0b21466c2c51309441bc9e0dc40b,seq_17488,262
f5912727e2ee3e8a6987018d7498d292,seq_114415,261
5fcbdb61fac0167f99175632fee020d3,seq_30671,258
2da055d0c0e140f6c9930560c3b1dcdf,seq_222141,258
710b31a2d2585fa4bd7cf65c44c77fbb,seq_109303,257
3eec0b147568b3f8551e05a90a1b6cfc,seq_103073,256
e8a1c2aaadfe33d058ed3c053d0548ad,seq_41077,255
a6d9d4013874afc50420b211d60d9d80,seq_207856,255
6ad95e613b6f8b059fb93262ed4d1744,seq_142643,254
03b1105412fc557a0f877dd39a5b9bc0,seq_23563,253
a49ea7c91e71a06da859e8a2ec1de74a,seq_110668,253
cc3079dbe95f0010a7f2517e0295c018,seq_111067,252
dfe1b480fa6ccd1b46d83f8341ad8675,seq_185718,250
3782ec7fa32ddfc72e0901ffa0ec595a,seq_207852,250
83cb1f439ec141743467c7df4da13660,seq_192544,250
8e1c06df2b2c4f825ca6464ed61d38c5,seq_120380,247
9ebdb20d1c9a9ef20991f7c03d4e9ee5,seq_176538,247
0256b877c7669f8861d3865a4d6b6874,seq_137875,247
a55252c038c60c1410655aeb1185946a,seq_110775,246
9a7740c9ab13733730a973addae56f4f,seq_142697,246
5969c798d4f518bebb05e7fefd0df595,seq_46004,246
39e77315ca42b5aba37cc5ec2d2a3e13,seq_110732,245
94ba1e8fcd062461153c02fa39b34391,seq_128401,245
9b3a2304e7f25fe54277319d80d3d823,seq_142710,245
86301640b6111ee3946143363d519f55,seq_20752,244
d4e4a634f7744adc319675c0ffdf8c4e,seq_38389,244
280cbb7b0fab553235d6246f4cb8128c,seq_80731,244
4acc81b3f4b6b34c4b70322d1162b07a,seq_177820,243
a89a71bb6f7997558f8d012368d4ff20,seq_98599,243
fbb4605c26d77b031092cc46667b0836,seq_168925,242
a5aa0593b7e8ef76d505e8447b797eb1,seq_178538,242
572ed1ac17252dcbf9ebde20aa947fe7,seq_165818,242
6d77a6d21319e37f22470835f0a44c5f,seq_131560,240
21640030b30f325042cc4e25b00447d5,seq_174656,238
2f13308d3e3ed41f3e6b625d80485879,seq_125541,238
1ce8a2c2325c906a87ac0ab967444438,seq_26090,238
ca183530a9823cb39d7b87fcf3f7dda0,seq_120372,238
5695cf27cded4b5636724a355d35baaa,seq_259734,235
f366be490e618d7d7101db988be49e3a,seq_14105,234
8433849a1a88d7b3e67d14b18621ed5c,seq_142797,233
22fc4da81a9fd68948c45b9b1e762b27,seq_193195,229
009571b00164e8a294f9d4119136582a,seq_183375,229
eaab3e9b43897ac9b247bebb74a5bd4a,seq_42138,228
06055e93a4d8fef368aeb3aa47acd81f,seq_97725,226
a489ada9df1be55c67215c09b580ef2e,seq_162883,225
6df4b333710c125f217590ec11a51cd7,seq_247270,225
7f6d18dbd619e4b372ac93e0b24de523,seq_56703,225
123a896976b9676404b4f570698f2aab,seq_170540,223
f009bfe0156daa518484109fbec49e94,seq_89815,222
9fc75a5cc5d2aaf88ab4eff22c8847ef,seq_4185,221
8421571ff46c1a9d58f25af634b40af7,seq_163551,221
21d820ef316fd34cf50f2d42ddeccd94,seq_167297,220
b25d488f4071c90d331c94564666c302,seq_90128,219
3176826b90a5e12d260c74acb12e3273,seq_178237,219
c16b147ffa03780ee8c6497f048150ce,seq_116139,218
7c52632ef5fbeb3143bb8e53e2443e17,seq_21093,218
1a29c4dd98a15e3e6381dcd7694eb1e0,seq_142915,218
1114b1b3fd88056cd87e4e9e0138c0b9,seq_27412,217
f75724876fbc68af3f1cf3116c438588,seq_258385,216
15f44eb43b7b9c2effeadd5d95c4117d,seq_146131,216
f0e9f8120bc94c9111532b3756659c85,seq_13910,216
ed65cb720474061e4a77f0ab82ba464f,seq_115160,216
23dbfaecb80cca4bd810abb4d2eb00bf,seq_132321,216
3a98f2059f7e9361e2776130200c2dce,seq_73501,215
8a1af66de33002b8ee19d4fc4080ec71,seq_222596,215
6ae8b196eadaa42214f23edbebac09b6,seq_89033,214
1cf3726c9262fe6a56e21377f7fa8458,seq_58688,213
af43fcabb1f11f9239ab888bba455c8f,seq_51378,212
d0e320a3bc838705db0f373fef83bda5,seq_181192,212
d558e9642f1c4064c547c6893909de97,seq_89088,211
f7446540cd2a249e3672ab4595c1b348,seq_131419,209
19fd75c4b4b4224ceb4423fa8949c209,seq_78274,208
fbbf77eeb393620dded61e9f605d76b1,seq_93596,208
3ff3df95ad4bfae5a48b6f615700e246,seq_56342,208
8170671446cedbb19f9d5e0358ff1921,seq_70720,208
83f788342844a09a6862e53274699d44,seq_120025,206
2cdcfff061fd499ee3bee1f04c18b1d7,seq_100505,205
27a438b96b93f9aa73305e927b5d8a08,seq_25769,204
f311ec90cdf2d68d0cf0bf5b0edaeef2,seq_106685,204
779fa67d3db9eb70dec7aadf62938d21,seq_213175,204
db6ef35885e809dc5d098814e9634f25,seq_157760,203
c087b04e6cb6605efb8d386aab38901c,seq_65607,203
db45f0c42eb077a1426cbc2003f4b61f,seq_4742,203
58cb5379fe51a7351a3696f10796f7fa,seq_105682,202
bf8dd0b648d4e13072e389be0369acf6,seq_85529,201
